Emma,F,19800
Olivia,F,18703
Ava,F,15958
Isabella,F,15180
Sophia,F,14883
Mia,F,13470
Charlotte,F,12937
Amelia,F,11833
Evelyn,F,10712
Abigail,F,10607
Harper,F,10487
Emily,F,9781
Elizabeth,F,8955
Avery,F,8205
Sofia,F,8160
Ella,F,8046
Madison,F,7875
Scarlett,F,7702
Victoria,F,7292
Aria,F,7149
Grace,F,7040
Chloe,F,6944
Camila,F,6766
Penelope,F,6652
Riley,F,6353
Layla,F,6303
Lillian,F,6160
Nora,F,6055
Zoey,F,6045
Mila,F,5964
Aubrey,F,5911
Hannah,F,5907
Lily,F,5837
Addison,F,5616
Eleanor,F,5537
Natalie,F,5534
Luna,F,5344
Savannah,F,5238
Brooklyn,F,5186
Leah,F,5175
Zoe,F,5158
Stella,F,5055
Hazel,F,5023
Ellie,F,5005
Paisley,F,4940
Audrey,F,4825
Violet,F,4719
Skylar,F,4718
Claire,F,4693
Bella,F,4638
Aurora,F,4591
Lucy,F,4587
Anna,F,4544
Samantha,F,4318
Caroline,F,4283
Genesis,F,4254
Aaliyah,F,4174
Kennedy,F,4152
Kinsley,F,4044
Maya,F,4028
Allison,F,4027
Sarah,F,4009
Madelyn,F,3953
Adeline,F,3920
Alexa,F,3891
Gabriella,F,3879
Ariana,F,3876
Elena,F,3873
Naomi,F,3841
Alice,F,3816
Sadie,F,3710
Hailey,F,3699
Eva,F,3629
Autumn,F,3594
Emilia,F,3589
Quinn,F,3589
Nevaeh,F,3584
Ruby,F,3566
Serenity,F,3559
Piper,F,3555
Willow,F,3551
Everly,F,3516
Cora,F,3441
Kaylee,F,3403
Lydia,F,3327
Aubree,F,3316
Arianna,F,3276
Eliana,F,3269
Peyton,F,3250
Melanie,F,3232
Gianna,F,3189
Isabelle,F,3157
Julia,F,3116
Valentina,F,3037
Nova,F,3036
Clara,F,3035
Vivian,F,3023
Reagan,F,3001
Madeline,F,2952
Mackenzie,F,2950
Brielle,F,2891
Delilah,F,2882
Isla,F,2874
Katherine,F,2853
Rylee,F,2853
Sophie,F,2831
Josephine,F,2813
Ivy,F,2770
Liliana,F,2757
Jade,F,2732
Maria,F,2707
Hadley,F,2706
Taylor,F,2699
Kylie,F,2695
